Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
-0.13,0.36,0.59,0.76,0.61,0.024,-0.0013,0.0036,0.0059,0.0076,0.0061,0.00024
0.12,-0.2,0.1,0.53,1.07,0.024,0.0012,-0.002,0.001,0.0053,0.0107,0.00024
1.31,0.25,-0.64,-1.4,-1.31,0.024,0.0131,0.0025,-0.0064,-0.014,-0.0131,0.00024
0.51,0.02,-0.57,-1.84,-1.37,0.024,0.0051,0.0002,-0.0057,-0.0184,-0.0137,0.00024
0.94,-0.63,-0.41,-0.77,-1.05,0.024,0.0094,-0.0063,-0.0041,-0.0077,-0.0105,0.00024
0.1,0.73,-1.32,-0.2,-0.21,0.024,0.001,0.0073,-0.0132,-0.002,-0.0021,0.00024
-1.35,0.43,1.19,0.76,0.92,0.024,-0.0135,0.0043,0.0119,0.0076,0.0092,0.00024
-1.19,-0.13,1.25,1.01,0.95,0.024,-0.0119,-0.0013,0.0125,0.0101,0.0095,0.00024
1.33,-0.39,-0.8,-0.6,-0.85,0.024,0.0133,-0.0039,-0.008,-0.006,-0.0085,0.00024
-1.3,-0.32,1.1,1.11,1.02,0.024,-0.013,-0.0032,0.011,0.0111,0.0102,0.00024
-1.44,-0.22,0.87,1.82,0.8,0.024,-0.0144,-0.0022,0.0087,0.0182,0.008,0.00024
0.51,-0.71,0.23,-0.23,-0.76,0.024,0.0051,-0.0071,0.0023,-0.0023,-0.0076,0.00024
-1.33,1.06,0.94,0.29,0.33,0.024,-0.0133,0.0106,0.0094,0.0029,0.0033,0.00024
-0.9,-1.26,2.48,2.48,1.71,0.024,-0.009,-0.0126,0.0248,0.0248,0.0171,0.00024
-2.33,0.07,1.72,1.99,1.62,0.024,-0.0233,0.0007,0.0172,0.0199,0.0162,0.00024
1.03,0.59,-0.45,-0.27,-0.97,0.024,0.0103,0.0059,-0.0045,-0.0027,-0.0097,0.00024
