"","V1"
"1949",-0.003198
"1950",0.01306216
"1951",-0.0004050793
"1952",-0.004702248
"1953",0.001968727
"1954",0.009374881
"1955",-0.003361698
"1956",0.007923646
"1957",-0.001853797
"1958",-0.00531181
"1959",0.004602959
"1960",-0.008556732
"1961",-0.006734867
"1962",0.001619847
"1963",-0.0008929462
"1964",-0.02608931
"1965",0.003651176
"1966",0.00862434
"1967",-0.002584408
"1968",-0.001116795
"1969",0.01355346
"1970",0.003565771
"1971",-0.006624372
"1972",0.01178066
"1973",-0.02693889
"1974",0.0006418867
"1975",-0.005127093
"1976",0.01181721
"1977",-0.02996973
"1978",-0.0007361781
"1979",-0.01455006
"1980",-0.01019845
"1981",0.02851778
"1982",-0.007254478
"1983",-0.01346049
"1984",0.00505668
"1985",-0.01777448
"1986",0.004316164
"1987",-0.01621508
"1988",0.01658943
"1989",-0.02367297
"1990",0.0146598
"1991",0.02799962
"1992",0.0003163613
"1993",0.007580185
"1994",-0.006044736
"1995",-0.006701738
"1996",0.01493592
"1997",0.01478497
"1998",-0.001919504
"1999",0.007341894
"2000",-0.02573587
"2001",0.005891879
"2002",0.001083575
"2003",-0.01398162
"2004",-0.01527485
"2005",0.006120159
"2006",-0.001501756
"2007",0.004748236
"2008",0.01639242
"2009",0.00790456
"2010",0.000668309
"2011",-0.01452526
"2012",0.00136264
"2013",-0.007015168
"2014",-0.01464308
"2015",-1e-04
"2016",-0.02495797
"2017",0.003118075
"2018",-0.01862276
"2019",0.01343211
"2020",0.007816712
"2021",-0.01378865
"2022",0.01071198
"2023",-0.0253409
"2024",-0.005727886
"2025",-0.02962418
"2026",-0.00616377
"2027",-0.01124706
"2028",0.02111553
"2029",0.00991244
"2030",-0.01609924
"2031",0.01729613
"2032",0.006040881
"2033",-0.004875379
"2034",0.01653315
"2035",0.01209322
"2036",-0.01058799
"2037",-0.03258847
"2038",-0.00772285
"2039",0.007784843
"2040",-0.00428258
"2041",0.005801727
"2042",0.007169627
"2043",0.01344236
"2044",-0.01358236
"2045",0.0007673975
"2046",-0.0009666759
"2047",0.008236278
"2048",-0.01302086
"2049",0.00777972
