Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
-0.0059,0.0926,0.0451,-0.0133,0.0315,0.0034,-0.59,9.26,4.51,-1.33,3.15,0.34
0.0109,0.0135,0.0637,0.0009,0.0204,0.0028,1.09,1.35,6.37,0.09,2.04,0.28
-0.0266,-0.009,0.0365,-0.0008,0.0193,0.0034,-2.66,-0.9,3.65,-0.08,1.93,0.34
0.0107,-0.0573,0.0431,0.0171,0.0222,0.0032,1.07,-5.73,4.31,1.71,2.22,0.32
0.003,0.0021,0.0128,-0.0096,0.0043,0.0028,0.3,0.21,1.28,-0.96,0.43,0.28
-0.0234,-0.0271,0.034,-0.0003,0.0107,0.0032,-2.34,-2.71,3.4,-0.03,1.07,0.32
0.0377,-0.0061,-0.0053,0.0157,-0.0072,0.0031,3.77,-0.61,-0.53,1.57,-0.72,0.31
-0.0238,-0.0042,-0.0103,0.0379,-0.0162,0.0026,-2.38,-0.42,-1.03,3.79,-1.62,0.26
0.0119,0.0048,-0.0021,0.0153,-0.005,0.0026,1.19,0.48,-0.21,1.53,-0.5,0.26
0.0102,0.0202,-0.021,0.0131,-0.008,0.0023,1.02,2.02,-2.1,1.31,-0.8,0.23
0.0413,0.0391,-0.0148,-0.0084,-0.0191,0.0023,4.13,3.91,-1.48,-0.84,-1.91,0.23
0.0153,0.0164,0.0252,-0.0044,0.0075,0.0028,1.53,1.64,2.52,-0.44,0.75,0.28
0.0093,0.0209,0.0587,-0.0177,0.0278,0.0023,0.93,2.09,5.87,-1.77,2.78,0.23
0.0012,-0.0342,0.0642,-0.005,0.0405,0.0022,0.12,-3.42,6.42,-0.5,4.05,0.22
0.023,0.0005,0.0122,-0.0029,0.0092,0.0025,2.3,0.05,1.22,-0.29,0.92,0.25
-0.0305,-0.0086,0.0261,-0.0369,0.0152,0.0024,-3.05,-0.86,2.61,-3.69,1.52,0.24
0.0289,0.0188,-0.0341,-0.0001,-0.0118,0.0022,2.89,1.88,-3.41,-0.01,-1.18,0.22
0.0031,0.0011,0.0262,-0.0106,0.0109,0.0025,0.31,0.11,2.62,-1.06,1.09,0.25
-0.0034,0.009,0.0325,-0.0218,0.0203,0.0024,-0.34,0.9,3.25,-2.18,2.03,0.24
0.0371,0.0025,-0.0045,-0.0115,-0.0004,0.0025,3.71,0.25,-0.45,-1.15,-0.04,0.25
-0.0012,0.0306,-0.0044,0.0077,-0.0008,0.0026,-0.12,3.06,-0.44,0.77,-0.08,0.26
0.0141,0.0161,-0.0154,-0.001,0.006,0.0022,1.41,1.61,-1.54,-0.1,0.6,0.22
-0.0189,-0.0143,-0.0027,0.0155,-0.0095,0.0025,-1.89,-1.43,-0.27,1.55,-0.95,0.25
0.0165,0.0136,0.0057,0.007,-0.0032,0.0023,1.65,1.36,0.57,0.7,-0.32,0.23
0.0287,-0.0014,0.0209,-0.0229,0.0144,0.0025,2.87,-0.14,2.09,-2.29,1.44,0.25
-0.0255,0.0265,-0.0145,0.0245,-0.0103,0.0021,-2.55,2.65,-1.45,2.45,-1.03,0.21
-0.0478,-0.0102,0.0129,0.0077,0.0127,0.0027,-4.78,-1.02,1.29,0.77,1.27,0.27
0.0068,-0.0105,0.0168,0.0101,0.0112,0.0027,0.68,-1.05,1.68,1.01,1.12,0.27
0.0058,-0.0246,0.002,0.009,0.007,0.0031,0.58,-2.46,0.2,0.9,0.7,0.31
-0.0303,-0.0052,0.0169,0.0116,0.0153,0.0031,-3.03,-0.52,1.69,1.16,1.53,0.31
0.0282,-0.0183,0.0062,-0.0089,0.0011,0.0028,2.82,-1.83,0.62,-0.89,0.11,0.28
0.0401,0.0129,-0.0281,0.0087,-0.0145,0.0037,4.01,1.29,-2.81,0.87,-1.45,0.37
-0.0231,0.0267,-0.0191,0.006,0.0093,0.0037,-2.31,2.67,-1.91,0.6,0.93,0.37
0.0134,-0.023,-0.0174,0.0058,-0.0062,0.0038,1.34,-2.3,-1.74,0.58,-0.62,0.38
-0.0404,0.0011,-0.0094,0.0081,-0.0044,0.0037,-4.04,0.11,-0.94,0.81,-0.44,0.37
0.0086,-0.0002,0.0054,0.0042,0.0031,0.0044,0.86,-0.02,0.54,0.42,0.31,0.44
0.018,-0.0276,0.0081,0.0061,-0.0083,0.0042,1.8,-2.76,0.81,0.61,-0.83,0.42
0.0363,-0.0055,0.0109,0.0058,-0.0033,0.004,3.63,-0.55,1.09,0.58,-0.33,0.4
0.0219,-0.0072,-0.011,-0.0033,0.0016,0.0046,2.19,-0.72,-1.1,-0.33,0.16,0.46
0.0211,-0.0034,0.0227,0.0005,0.01,0.0044,2.11,-0.34,2.27,0.05,1,0.44
0.029,-0.0206,0.0172,0.0046,0.0009,0.0054,2.9,-2.06,1.72,0.46,0.09,0.54
0.0272,0.0295,-0.0228,-0.0048,-0.0244,0.0047,2.72,2.95,-2.28,-0.48,-2.44,0.47
0.0372,0.021,-0.0167,0.0045,-0.017,0.0045,3.72,2.1,-1.67,0.45,-1.7,0.45
0.0055,0.0183,0.0271,-0.0136,0.0164,0.0047,0.55,1.83,2.71,-1.36,1.64,0.47
0.0335,-0.0188,-0.0075,0.0133,0.0036,0.0043,3.35,-1.88,-0.75,1.33,0.36,0.43
-0.0152,-0.0405,-0.0074,0.0214,-0.0003,0.0047,-1.52,-4.05,-0.74,2.14,-0.03,0.47
