"","V1"
"248",-0.0220433366666667
"249",0.05546902
"250",-0.0576618566666667
"251",-0.01093097
"252",-0.0779207666666667
"253",-0.02505002
"254",0.0676121733333333
"255",-0.1015876
"256",-0.08026364
"257",0.0997789333333333
"258",-0.00479974133333333
"259",-0.01943067
"260",-0.0172117633333333
"261",-0.0709266233333333
"262",-0.0871737533333333
"263",0.0427829033333333
"264",0.04125403
"265",0.0215688033333333
"266",-0.0286319633333333
"267",0.00839230666666667
"268",0.01283211
"269",-0.0539407466666667
"270",-0.0431586033333333
"271",-0.0718513
"272",-0.0908166766666667
"273",-0.00765063166666667
"274",-0.0350115966666667
"275",0.06058642
"276",0.0364912033333333
"277",-0.0277489633333333
"278",-0.05514871
"279",-0.0301836033333333
"280",0.0278758766666667
"281",0.06510545
"282",0.0537713566666667
"283",0.0156602966666667
"284",-0.00226981533333333
"285",0.0417346633333333
"286",-0.00375405433333333
"287",0.0392296566666667
"288",0.0103601533333333
"289",0.0351605666666667
"290",0.02382202
"291",0.01800308
"292",-0.0208702766666667
"293",-0.01310109
"294",0.00324774033333333
"295",0.00679625766666667
"296",-0.0200604366666667
"297",-0.000733430666666667
"298",0.0227839633333333
"299",-0.0010003189
"300",0.0523016966666667
"301",0.00881611866666667
"302",-0.0107292733333333
"303",0.01732676
"304",-0.03163777
"305",-0.009416032
"306",0.0336977833333333
"307",-0.006692417
"308",0.0334269
"309",-0.0114427166666667
"310",0.003949336
"311",-0.0199670033333333
"312",0.0499256633333333
"313",0.00296869033333333
"314",0.0104251366666667
"315",0.00651457766666667
"316",0.004775285
"317",0.00531197166666667
"318",-0.0153708433333333
"319",-0.00463593933333333
"320",-0.007617376
"321",0.0307150933333333
"322",0.0150313833333333
"323",0.02669007
"324",0.0205751466666667
"325",0.0137735033333333
"326",0.0201833033333333
"327",-0.0303839233333333
"328",0.0147553433333333
"329",0.0420921633333333
"330",0.0327797666666667
"331",-0.0114009733333333
"332",-0.03627727
"333",0.0157121133333333
"334",0.0376899733333333
"335",-0.0255508233333333
"336",-0.02439363
"337",-0.0174793
"338",-0.0365158933333333
"339",-0.0471512166666667
"340",0.02860623
"341",0.02802933
"342",-0.0170793466666667
"343",-0.07562011
"344",-0.0194392633333333
"345",0.01348486
"346",-0.0957008666666667
"347",-0.1836394
"348",-0.1688026
"349",0.1324465
"350",-0.121209933333333
"351",-0.163682166666667
"352",0.146107266666667
"353",0.07873306
"354",0.0718203066666667
"355",-0.0209500233333333
"356",0.0823867766666667
"357",-0.00459683133333333
"358",0.03137508
"359",0.01257298
"360",0.0613379966666667
"361",0.0215277
"362",-0.0394259
"363",0.0240483566666667
"364",0.0544036766666667
"365",0.0202918466666667
"366",-0.115889533333333
"367",-0.0413281433333333
"368",0.0915367066666667
"369",-0.0413259533333333
"370",0.0592491166666667
"371",0.0327240866666667
"372",0.0181393266666667
"373",0.0531128266666667
"374",0.0276891366666667
"375",-0.000972410333333333
"376",0.01976771
"377",0.02139198
"378",-0.0348869
"379",0.01892891
"380",-0.0401644233333333
"381",-0.0662691
"382",-0.09138824
"383",0.1028301
"384",0.02135804
"385",0.02576252
"386",0.0361648
"387",0.03706626
"388",0.03218895
"389",-0.00936822333333333
"390",-0.09529304
"391",0.06620031
"392",0.00715006566666667
"393",0.0212998266666667
"394",0.0277534266666667
"395",-0.0117769633333333
"396",-0.0127893933333333
"397",0.036886
"398",0.03411419
"399",0.003318573
"400",0.02855052
"401",0.01305631
"402",0.03582012
"403",-0.01564217
"404",0.05535112
"405",-0.04010528
"406",0.03312674
"407",0.03856246
"408",0.02204135
"409",0.01711078
"410",-0.0504266
"411",0.05790411
"412",0.0213288
"413",-0.0009763165
"414",0.02168303
"415",0.02480701
"416",-0.02471348
"417",0.03928265
"418",-0.02842833
"419",0.03615458
"420",0.01750361
"421",0.002315384
"422",-0.01831359
"423",0.04666594
"424",-0.02762869
"425",0.02332175
"426",0.001630296
"427",-0.01638081
"428",0.009876893
"429",-0.09188669
"430",0.005195857
"431",0.08955132
"432",-0.000683529033333333
"433",-0.0437399733333333
"434",-0.0371055766666667
"435",0.0198781433333333
"436",0.0466192266666667
"437",0.00415607566666667
"438",0.00854649233333333
"439",0.00170614733333333
"440",0.0317564633333333
"441",-7.44493366666667e-06
"442",-0.00447651766666667
"443",-0.0231691633333333
"444",0.03686684
"445",0.0299762666666667
"446",0.00954053366666667
"447",0.04978089
"448",-0.0156556266666667
"449",0.0123744
"450",0.01727156
"451",-0.000490534933333333
"452",0.01922697
"453",5.74098000000001e-06
"454",0.02092998
"455",0.0196032233333333
"456",0.02400311
"457",0.0199876133333333
"458",0.0456483533333333
"459",-0.05259177
"460",-0.0365458766666667
"461",0.0277349033333333
"462",0.0295065233333333
"463",-0.00303012233333333
"464",0.0311504666666667
"465",0.02907452
"466",0.00941694466666667
"467",-0.06521134
